Label,ProposedChapter,ProposedChapterTitle,ProposedSectionTitle,OldNotesPages,Notes,DraftStatus,ImplementedInSource
mf:submatrix-extraction,Ch07,Matrices and Matrix-Vector Multiplication,Submatrices and slicing notation,pp. 23--24,Supports filtering rows and selecting columns.,implemented,Ch07_Matrices_and_Matrix_Vector_Multiplication_v1.tex
mf:computational-matrix-operations,Ch07,Matrices and Matrix-Vector Multiplication,Computational matrix operations and array shapes,pp. 37--38,Supports Python/NumPy matrix-operation bridges.,implemented,Ch07_Matrices_and_Matrix_Vector_Multiplication_v1.tex
mf:linear-systems,Ch08,"Linear Systems, Polynomial Systems, and Vandermonde Matrices",Linear systems,pp. 28--31,Supports transformed systems and coefficient solving.,implemented,Ch08_Linear_Systems_Polynomial_Systems_Vandermonde_Matrices_v1.tex
mf:vandermonde-matrices,Ch08,"Linear Systems, Polynomial Systems, and Vandermonde Matrices",Polynomial systems and Vandermonde matrices,p. 31,Supports polynomial design matrices.,implemented,Ch08_Linear_Systems_Polynomial_Systems_Vandermonde_Matrices_v1.tex
mf:orthogonal-bases,Ch09,"Orthogonal Bases, Gram-Schmidt, and QR",Orthogonal and orthonormal bases,pp. 34--36,Supports orthogonal-polynomial intuition.,implemented,Ch09_Orthogonal_Bases_Gram_Schmidt_QR_v1.tex
mf:gram-schmidt,Ch09,"Orthogonal Bases, Gram-Schmidt, and QR",Gram-Schmidt orthogonalization,pp. 34--36,Supports orthogonal basis construction.,implemented,Ch09_Orthogonal_Bases_Gram_Schmidt_QR_v1.tex
mf:qr-factorization,Ch09,"Orthogonal Bases, Gram-Schmidt, and QR",QR factorization,pp. 34--36,Supports stable least-squares background if retained chronologically.,implemented,Ch09_Orthogonal_Bases_Gram_Schmidt_QR_v1.tex
mf:orthogonal-polynomials,Ch09,"Orthogonal Bases, Gram-Schmidt, and QR",Orthogonal polynomial intuition,pp. 34--36,Supports transformed-regression interpretation.,implemented,Ch09_Orthogonal_Bases_Gram_Schmidt_QR_v1.tex
mf:matrix-inverse,Ch10,"Matrix Inverses, Rank, and Pseudoinverses",Matrix inverses,pp. 59--62,Supports inverse and left-inverse intuition.,implemented,Ch10_Matrix_Inverses_Rank_Pseudoinverses_v1.tex
mf:left-inverse,Ch10,"Matrix Inverses, Rank, and Pseudoinverses",Left inverses,pp. 59--62,Supports identifiability and full column rank.,implemented,Ch10_Matrix_Inverses_Rank_Pseudoinverses_v1.tex
mf:rank,Ch10,"Matrix Inverses, Rank, and Pseudoinverses",Rank,"pp. 59--62, 67--69",Supports full-rank conditions.,implemented,Ch10_Matrix_Inverses_Rank_Pseudoinverses_v1.tex
mf:full-column-rank,Ch10,"Matrix Inverses, Rank, and Pseudoinverses",Full column rank,"pp. 59--62, 67--69",Supports unique regression coefficients.,implemented,Ch10_Matrix_Inverses_Rank_Pseudoinverses_v1.tex
mf:ata-invertibility,Ch10,"Matrix Inverses, Rank, and Pseudoinverses",Invertibility of A^T A under full column rank,p. 122,Supports normal-equation coefficient uniqueness.,implemented,Ch10_Matrix_Inverses_Rank_Pseudoinverses_v1.tex
mf:column-space,Ch11,"Subspaces: Column Space, Row Space, and Null Space",Column space,pp. 67--69,Supports fitted-value spaces and projections.,implemented,Ch11_Subspaces_Column_Row_Null_v1.tex
mf:row-space,Ch11,"Subspaces: Column Space, Row Space, and Null Space",Row space,pp. 67--69,Part of the subspace framework.,implemented,Ch11_Subspaces_Column_Row_Null_v1.tex
mf:null-space,Ch11,"Subspaces: Column Space, Row Space, and Null Space",Null space,pp. 67--69,Supports identifiability and non-identifiability.,implemented,Ch11_Subspaces_Column_Row_Null_v1.tex
mf:subspaces,Ch11,"Subspaces: Column Space, Row Space, and Null Space","Column, row, and null subspaces",pp. 67--69,Supports Big Four subspace language.,implemented,Ch11_Subspaces_Column_Row_Null_v1.tex
mf:multivariable-functions,Ch12,"Multivariable Functions, Gradients, and Least Squares",Multivariable functions,pp. 104--105,Supports optimization setup.,implemented,Ch12_Multivariable_Functions_Gradients_Least_Squares_v1.tex
mf:gradient,Ch12,"Multivariable Functions, Gradients, and Least Squares",Gradients,pp. 104--105,Supports normal-equation derivations.,implemented,Ch12_Multivariable_Functions_Gradients_Least_Squares_v1.tex
mf:stationary-points,Ch12,"Multivariable Functions, Gradients, and Least Squares",Stationary points,pp. 104--105,Supports least-squares minimization.,implemented,Ch12_Multivariable_Functions_Gradients_Least_Squares_v1.tex
mf:least-squares-objective,Ch12,"Multivariable Functions, Gradients, and Least Squares",Least-squares objective,pp. 104--105,Supports regression loss minimization.,implemented,Ch12_Multivariable_Functions_Gradients_Least_Squares_v1.tex
mf:least-squares-normal-equations,Ch12,"Multivariable Functions, Gradients, and Least Squares",Normal equations,"pp. 104--105, 120--122",Supports X^T X beta = X^T y.,implemented,Ch12_Multivariable_Functions_Gradients_Least_Squares_v1.tex
mf:least-squares-residual-orthogonality,Ch12,"Multivariable Functions, Gradients, and Least Squares",Residual orthogonality in least squares,pp. 104--105,Supports X^T e = 0.,implemented,Ch12_Multivariable_Functions_Gradients_Least_Squares_v1.tex
mf:least-squares-projection-bridge,Ch12,"Multivariable Functions, Gradients, and Least Squares",Least squares as an orthogonal-projection bridge,pp. 104--105,Short bridge label for Data Analysis projection language; do not expand into a long new chapter.,implemented,Ch12_Multivariable_Functions_Gradients_Least_Squares_v1.tex
mf:hessian,Ch13,"Hessians, Quadratic Forms, and Second-Order Conditions",Hessians,pp. 120--122,Supports second-order least-squares arguments.,implemented,Ch13_Hessians_Quadratic_Forms_Second_Order_Conditions_v1.tex
mf:quadratic-forms,Ch13,"Hessians, Quadratic Forms, and Second-Order Conditions",Quadratic forms,pp. 120--122,Supports A^T A arguments.,implemented,Ch13_Hessians_Quadratic_Forms_Second_Order_Conditions_v1.tex
mf:positive-semidefinite,Ch13,"Hessians, Quadratic Forms, and Second-Order Conditions",Positive semidefinite matrices,pp. 120--122,Supports convexity and uniqueness checks.,implemented,Ch13_Hessians_Quadratic_Forms_Second_Order_Conditions_v1.tex
mf:second-order-conditions,Ch13,"Hessians, Quadratic Forms, and Second-Order Conditions",Second-order conditions,pp. 120--122,Supports classifying stationary points.,implemented,Ch13_Hessians_Quadratic_Forms_Second_Order_Conditions_v1.tex
mf:data-analysis-bridge-index,Appendix A,Data Analysis Bridge Index,Data Analysis Bridge Index,Derived from MF_Connections_Map.md,Index layer that points Data Analysis dependencies back to chronological sections.,implemented,AppendixA_Data_Analysis_Bridge_Index_v1.tex
