OldNotesPages,FutureMFLabels,ProposedChapterTargets,DataAnalysisUses
pp. 16--18,mf:angles; mf:centered-vectors; mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:least-squares-objective; mf:least-squares-projection-bridge; mf:least-squares-residual-orthogonality; mf:matrices-dimensions; mf:norms-euclidean; mf:orthogonality; mf:vector-arithmetic; mf:vector-distance; mf:vectors-as-data; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-residual-orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-residual-orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-objective`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10: Residual orthogonality || Ch12: Orthogonality condition \(\mathbf{X}^T\mathbf{e}=\mathbf{0}\) || Ch1: Correlation as linear alignment || Ch1: Covariance and Correlation || Ch2: Empirical MSE as squared distance || Ch2: Mean Squared Error || Ch6: Regression Sum of Squares || Ch6: Sum-of-squares decomposition || Ch7: Projection Onto One Vector || Ch7: Residual orthogonality
"pp. 16--18, 104--105",mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:least-squares-normal-equations; mf:least-squares-objective; mf:least-squares-projection-bridge; mf:norms-euclidean; mf:ones-vector; mf:orthogonality,"Ch02 Vectors in R^n: `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch9: Normal equations and orthogonality
"pp. 16--18, p. 25, pp. 59--60, pp. 67--69; pp. 104--105 plus pp. 120--122",mf:data-analysis-bridge-index; mf:full-column-rank; mf:least-squares-objective; mf:least-squares-projection-bridge; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:norms-euclidean; mf:orthogonality; mf:rank; mf:vectors-as-data,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:orthogonality`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:rank`, `mf:full-column-rank`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-objective`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch12: The Big Picture
pp. 17--18,mf:angles; mf:data-analysis-bridge-index; mf:least-squares-objective; mf:norms-euclidean; mf:orthogonality; mf:set-membership; mf:set-operations; mf:subsets; mf:vector-distance; mf:vectors-as-data,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch04 Sets, Set Operations, and Quantifiers: `mf:set-membership`, `mf:set-operations`, `mf:subsets`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:vector-distance`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-objective`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch2: Residual length and RMSE || Ch3: Outlier detection as distance from typical pattern || Ch7: Least squares objective || Ch8: Orthogonal complements
pp. 20--21,mf:bases; mf:data-analysis-bridge-index; mf:dimension; mf:full-column-rank; mf:linear-independence; mf:rank; mf:span; mf:vector-entries-subvectors; mf:vectors-rn,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vector-entries-subvectors`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`, `mf:dimension`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch02 Vectors in R^n: `mf:vectors-rn`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`, `mf:dimension`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:rank`, `mf:full-column-rank`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:span`, `mf:bases`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`","Ch11: Basis and spanning viewpoint || Ch2: Flexibility and degrees-of-freedom intuition || Ch7: Dimensions and Degrees of Freedom || Ch8: Rank, basis, and full column rank intuition"
"pp. 20--21, 67--69",mf:bases; mf:data-analysis-bridge-index; mf:full-column-rank; mf:linear-independence; mf:rank,"Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:rank`, `mf:full-column-rank`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch9: Full column rank requirement
"pp. 20--22, 34--36",mf:bases; mf:data-analysis-bridge-index; mf:full-column-rank; mf:linear-independence; mf:matrix-inverse; mf:norms-euclidean; mf:orthogonal-bases; mf:rank,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`; Ch09 Orthogonal Bases, Gram-Schmidt, and QR: `mf:orthogonal-bases`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:rank`, `mf:full-column-rank`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch7: Full rank and invertibility intuition
pp. 23--24,mf:data-analysis-bridge-index; mf:identity-matrix; mf:matrices-dimensions; mf:transpose,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:identity-matrix`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch8: Matrix dimensions and transpose notation || Ch9: Design matrix dimensions
pp. 23--24; p. 25,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:least-squares-normal-equations; mf:linear-combinations; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:norms-euclidean; mf:transpose,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-normal-equations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch7: The Normal Equations from Orthogonality
pp. 23--25,mf:data-analysis-bridge-index; mf:dot-product; mf:identity-matrix; mf:inner-product-weighted-sums; mf:least-squares-projection-bridge; mf:linear-combinations; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:transpose,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:identity-matrix`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:identity-matrix`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10: Regression matrix expressions || Ch11: Design-matrix mechanics || Ch12: Hat-matrix computations as linear transformations || Ch5: Design matrix notation || Ch6: Software/design-matrix bridge
pp. 23--25; pp. 16--18,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:norms-euclidean; mf:orthogonality; mf:transpose,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch5: Matrix and Geometry View
pp. 23--26,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:linear-combinations; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:submatrix-extraction; mf:transpose; mf:vectors-as-data,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`, `mf:submatrix-extraction`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch1: Neural-network layers as repeated linear operations plus nonlinearities || Ch2: Matrix notation behind fitted predictors || Ch3: Design-matrix readiness after cleaning || Ch4: Scatterplot matrices and heatmaps
pp. 25--26,mf:data-analysis-bridge-index; mf:dot-product; mf:inner-product-weighted-sums; mf:least-squares-normal-equations; mf:linear-combinations; mf:matrices-dimensions; mf:matrix-vector-column-view; mf:matrix-vector-row-view; mf:norms-euclidean,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-normal-equations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch7: Normal equations
pp. 28--30,mf:data-analysis-bridge-index; mf:linear-systems; mf:qr-factorization,"Ch08 Linear Systems, Polynomial Systems, and Vandermonde Matrices: `mf:linear-systems`; Ch09 Orthogonal Bases, Gram-Schmidt, and QR: `mf:qr-factorization`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11: Solving transformed systems
pp. 34--36,mf:data-analysis-bridge-index; mf:gram-schmidt; mf:norms-euclidean; mf:orthogonal-bases; mf:orthogonal-polynomials; mf:orthogonality; mf:vandermonde-matrices,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:norms-euclidean`, `mf:orthogonality`; Ch08 Linear Systems, Polynomial Systems, and Vandermonde Matrices: `mf:vandermonde-matrices`; Ch09 Orthogonal Bases, Gram-Schmidt, and QR: `mf:orthogonal-bases`, `mf:gram-schmidt`, `mf:orthogonal-polynomials`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11: Orthogonal polynomial intuition
pp. 37--38,mf:computational-matrix-operations; mf:data-analysis-bridge-index; mf:matrices-dimensions; mf:transpose,"Ch07 Matrices and Matrix-Vector Multiplication: `mf:computational-matrix-operations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index` || Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:computational-matrix-operations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10: Computational matrix operations || Ch11: Computational matrix operations || Ch12: Computational matrix operations || Ch7: Computational bridge || Ch8: Computational check || Ch9: Software implementation
"pp. 59--60, 67--69",mf:data-analysis-bridge-index; mf:full-column-rank; mf:left-inverse; mf:matrix-inverse; mf:rank,"Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`, `mf:rank`, `mf:full-column-rank`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch11: Full column rank requirement
"pp. 59--60, 67--69, 122",mf:data-analysis-bridge-index; mf:full-column-rank; mf:left-inverse; mf:linear-independence; mf:matrix-inverse; mf:null-space; mf:rank,"Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`, `mf:rank`, `mf:full-column-rank`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:null-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10: Full-rank requirement for unique coefficients || Ch12: Identifiability after repair
